firstName;lastName;office;job;password
Kristina;Chung;Paris;Analyste video;Btssio75000
Paige;Chen;Paris;Strategiste combat;Btssio75000
Sherri;Melton;Paris;Analyste video;Btssio75000
Elsie;Hamilton;Paris;Strategiste combat;Btssio75000
Dolores;McLaughlin;Paris;Preparateur physique;Btssio75000
Gretchen;Hill;Berlin;Arbitre;Btssio75000
Malcolm;Wagner;Berlin;Coach MMA;Btssio75000
Marion;Moon;Berlin;Arbitre;Btssio75000
Jerome;Wallace;Berlin;Preparateur physique;Btssio75000
Franklin;Vick;Berlin;Arbitre;Btssio75000
Patrick;Song;Londres;Coach MMA;Btssio75000
Sandy;Raynor;Londres;Analyste video;Btssio75000
Crystal;Powers;Londres;Analyste video;Btssio75000
Alex;May;Londres;Strategiste combat;Btssio75000
Marcia;Walsh;Londres;Analyste video;Btssio75000
Karen;Puckett;Tokyo;Coach MMA;Btssio75000
Hazel;Bender;Tokyo;Medecin du sport;Btssio75000
Francis;McNamara;Tokyo;Responsable logistique;Btssio75000
Beth;Woodard;Tokyo;Preparateur physique;Btssio75000
Neal;Lawrence;Tokyo;Coach MMA;Btssio75000
